ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
8.3735,8.0718,9.5018,8.5397,8.5244,8.255,8.2277,8.2159,9.5094,8.5956,9.147,9.1888,9.9022,8.3901,8.4142,9.4732,8.0201,8.1915,9.7,8.5251,Idiopathic Pulmonary Arterial Hypertension
8.3185,8.1111,10.5668,8.6853,8.9865,8.4837,8.3128,8.5596,10.1062,8.4595,8.9145,9.7947,10.7404,9.5889,8.5397,10.7763,8.1205,8.1855,10.1702,8.9942,Idiopathic Pulmonary Arterial Hypertension
8.3304,8.3234,11.1158,8.335,9.008,8.7564,8.2246,8.5941,10.5781,8.7549,8.813,9.9197,10.8665,9.3519,8.5826,10.8078,8.1254,8.0549,10.4466,9.1484,Idiopathic Pulmonary Arterial Hypertension
8.023,7.9987,8.9364,8.2385,8.4222,8.0896,7.8859,8.1438,9.0134,8.5065,8.8453,8.7063,8.8358,8.2141,8.4917,8.7794,8.037,8.0149,9.4404,8.0549,Idiopathic Pulmonary Arterial Hypertension
8.2282,8.1405,9.4023,8.4358,8.3851,8.184,8.0723,8.1587,9.386,8.6732,8.9323,8.9564,9.5599,8.2182,8.4911,9.3159,7.935,8.1681,9.8009,8.353,Idiopathic Pulmonary Arterial Hypertension
8.5978,8.2065,11.0087,9.7573,8.5919,8.652,8.4212,8.6558,10.5269,8.5692,10.2701,9.3815,10.4219,8.7486,8.5773,10.8681,8.3168,8.2913,10.7532,9.1545,Idiopathic Pulmonary Arterial Hypertension
9.0699,8.2659,11.0005,9.614,9.156,8.6817,8.3103,8.5233,10.7573,8.7415,10.2057,9.5406,10.8405,9.5723,8.4086,11.1928,8.0891,7.96,10.7281,9.248,Idiopathic Pulmonary Arterial Hypertension
8.5388,8.2786,10.4699,8.8742,8.759,8.5674,8.0739,8.5271,10.2658,8.6205,9.117,9.4299,10.4247,8.3477,8.4815,10.2845,7.9789,8.0263,10.0083,8.9527,Idiopathic Pulmonary Arterial Hypertension
8.1613,8.0512,9.9258,8.4667,8.4672,8.2399,8.0028,8.4754,9.6363,8.5392,8.7119,8.8109,9.446,8.9936,8.318,9.5132,7.9828,8.1466,9.4806,8.1142,Idiopathic Pulmonary Arterial Hypertension
8.1795,8.0531,10.3225,8.9075,8.6395,8.4043,8.0344,8.3409,9.962,8.6909,9.4106,8.9882,9.7873,8.7917,8.2361,9.7839,7.9064,8.0905,9.6206,8.8347,Idiopathic Pulmonary Arterial Hypertension
9.1695,8.1926,10.7045,9.0783,9.2159,8.4711,8.1543,8.0471,10.7238,9.186,9.5946,9.5075,11.0011,9.3217,8.3901,10.9013,8.1648,8.6039,10.2241,9.1607,Idiopathic Pulmonary Arterial Hypertension
8.7438,8.2523,10.2881,8.7103,8.7019,8.4808,8.3396,8.1146,10.3307,9.1369,9.5336,9.2715,10.4904,8.0133,8.4756,10.4571,8.0135,8.659,10.2069,9.0039,Idiopathic Pulmonary Arterial Hypertension
8.8225,8.3071,10.3516,9.2651,8.9421,8.4653,8.2966,8.3483,10.3819,8.687,9.2785,9.5211,10.716,8.8325,8.5809,10.4179,7.9005,8.3486,10.3404,9.0388,Idiopathic Pulmonary Arterial Hypertension
8.6726,8.2531,10.8714,9.0016,8.8046,8.702,8.4748,8.3853,10.3158,8.6455,9.5658,9.7394,11.1645,9.4434,8.5399,10.9483,8.1025,8.4404,10.4046,9.1081,Idiopathic Pulmonary Arterial Hypertension
8.7651,8.144,10.2174,9.2233,8.7928,8.4559,8.3383,8.1302,9.6734,8.7364,9.101,9.3686,10.6513,8.4388,8.7032,10.3626,8.2277,8.3678,10.0132,8.7085,Idiopathic Pulmonary Arterial Hypertension
8.3802,8.3113,10.3248,8.8772,8.6441,8.4633,8.4662,8.2176,9.766,8.7272,9.1882,9.3877,10.1957,8.4995,8.5948,10.1896,8.1117,8.1138,9.8121,8.6769,Idiopathic Pulmonary Arterial Hypertension
8.0552,7.9687,9.8188,8.9717,8.5268,8.3392,8.1924,8.337,9.7122,8.6593,8.8019,8.8577,9.5703,8.4245,8.4845,9.6526,8.1219,8.0271,9.404,8.2203,Idiopathic Pulmonary Arterial Hypertension
8.646,8.4736,10.7237,9.1168,8.8377,8.5205,8.1315,8.7696,10.195,8.5322,9.9851,9.7441,10.2885,9.2539,8.2551,10.9083,8.1248,8.2017,10.3753,9.1793,Idiopathic Pulmonary Arterial Hypertension
8.1001,8.2529,11.3064,9.0712,8.7878,8.5555,8.6652,8.9726,10.2485,8.5054,9.5262,9.657,10.4416,9.4002,8.5686,11.1679,8.2568,7.9619,10.4261,9.0618,Idiopathic Pulmonary Arterial Hypertension
