ILMN_1654609,ILMN_1657898,ILMN_1671005,ILMN_1680347,ILMN_1717229,ILMN_1755911,ILMN_1767168,ILMN_1794233,ILMN_1803561,ILMN_1812970,ILMN_2159384,ILMN_2165762,Results
12.9632,8.1436,10.8924,10.5295,9.4544,8.6095,8.4987,8.3113,8.5606,8.1091,9.094,9.2274,Idiopathic Pulmonary Arterial Hypertension
12.6877,8.1434,11.0841,10.4904,9.2151,8.6185,8.797,8.5358,8.5804,7.922,9.13,9.0029,Idiopathic Pulmonary Arterial Hypertension
11.9158,8.0838,10.7429,10.2837,9.5856,8.3058,8.1987,8.4367,9.0763,7.9051,8.8298,8.3385,Idiopathic Pulmonary Arterial Hypertension
12.2611,8.5078,10.4922,9.9888,8.9032,8.4041,8.604,8.2964,8.5537,7.9909,8.8765,9.0719,Idiopathic Pulmonary Arterial Hypertension
13.028,8.315,10.332,10.2916,8.8721,8.4851,8.3039,8.4841,8.9663,7.9813,8.5657,9.1047,Scleroderma with Pulmonary Arterial Hypertension 
12.188,7.7081,10.1111,10.2642,8.7133,8.0267,8.3913,8.2522,8.8146,7.9709,8.2657,8.8663,Scleroderma with Pulmonary Arterial Hypertension
12.701,8.1667,11.0466,10.1415,9.4962,8.8647,8.1663,8.4301,8.9502,8.2988,8.9608,9.5432,Scleroderma with Pulmonary Arterial Hypertension
13.5351,8.6255,11.0233,10.7909,10.1634,8.6091,8.4647,8.9794,8.3246,9.316,9.8557,9.8615,Scleroderma with Pulmonary Arterial Hypertension
11.6342,8.0408,10.4447,9.2309,9.1322,8.4685,8.6251,8.7202,8.4232,8.4403,8.765,8.9511,Scleroderma with Pulmonary Arterial Hypertension
11.4216,8.2394,10.2428,9.2989,8.8873,8.5608,8.4582,8.5501,8.4248,8.2543,8.5681,9.021,Scleroderma with Pulmonary Arterial Hypertension
11.5281,7.9089,9.831,9.2135,8.6108,8.3884,8.6252,8.3927,8.5528,7.9538,8.0943,8.7531,Scleroderma with Pulmonary Arterial Hypertension
13.0306,8.2855,11.3749,10.3225,9.7148,8.7079,8.1823,8.5457,8.6246,8.3602,9.269,9.3929,Scleroderma with Pulmonary Arterial Hypertension
12.7759,8.119,10.8874,10.1984,9.5869,8.4769,8.8919,8.7606,8.6775,8.1827,9.0871,9.1054,Scleroderma with Pulmonary Arterial Hypertension
11.867,8.2407,10.2479,9.4471,8.738,8.2192,8.2864,8.3068,8.446,8.0848,9.0345,8.7299,Scleroderma with Pulmonary Arterial Hypertension
12.6723,8.2022,11.1074,10.2897,9.3382,8.4253,8.971,8.3074,8.6422,7.9816,9.45,9.0797,Scleroderma with Pulmonary Arterial Hypertension
12.2745,8.3017,9.7449,9.7162,8.9031,8.1949,8.2925,8.2592,9.0335,8.002,8.5735,9.0129,Scleroderma with Pulmonary Arterial Hypertension
11.907,7.8712,10.0845,9.6686,8.6134,8.33,8.3455,8.853,8.1933,7.9948,8.5068,8.6007,Scleroderma with Pulmonary Arterial Hypertension
12.5662,8.3697,10.679,10.3114,9.2071,8.3795,8.6417,8.326,8.6443,8.0557,8.8489,9.4719,Scleroderma with Pulmonary Arterial Hypertension
11.7222,8.1742,10.0892,9.5237,8.9971,8.2084,8.4815,8.1898,8.6079,7.6186,8.5157,8.5654,Scleroderma with Pulmonary Arterial Hypertension
12.6312,8.1237,10.3484,10.029,8.9683,8.2456,8.6674,8.491,8.8175,7.9871,8.9083,8.8522,Scleroderma with Pulmonary Arterial Hypertension
11.3977,8.0762,9.4069,9.2185,8.69,8.5214,8.3216,8.9221,8.5148,7.8596,8.4237,9.3278,Scleroderma with Pulmonary Arterial Hypertension
12.3947,8.6109,10.9713,10.0523,9.3056,8.5236,8.2838,8.5116,8.4457,8.0076,8.6708,9.4679,Scleroderma with Pulmonary Arterial Hypertension
12.5285,8.1256,11.394,10.3477,9.7267,8.5318,8.6596,8.7857,9.1272,8.0535,9.2268,9.684,Scleroderma with Pulmonary Arterial Hypertension
12.8406,8.2509,11.3772,10.3864,9.8342,8.4218,8.8277,8.258,8.81,8.433,9.2566,9.6504,Scleroderma with Pulmonary Arterial Hypertension
13.4903,8.6117,11.7041,10.3189,9.6806,8.7597,8.8085,8.9138,8.2159,8.6741,9.5537,10.0121,Scleroderma with Pulmonary Arterial Hypertension
11.7601,8.1213,9.8487,9.8103,9.4769,8.1096,8.1837,8.0133,8.8807,7.8648,8.824,8.4299,Scleroderma with Pulmonary Arterial Hypertension
13.4908,8.477,10.6557,10.4467,9.8879,8.4037,8.4165,8.5639,8.6539,8.3379,9.4683,9.1248,Scleroderma with Pulmonary Arterial Hypertension
11.8529,8.2292,10.5043,9.6342,9.1651,8.4096,8.5554,8.5569,8.4247,8.1597,8.6801,8.9257,Scleroderma with Pulmonary Arterial Hypertension
13.5264,8.6199,11.3889,10.7071,9.679,8.5684,9.1234,8.9647,8.1459,8.4458,9.3669,9.3005,Scleroderma with Pulmonary Arterial Hypertension
12.3436,8.1831,10.8816,10.1716,9.5254,8.0974,8.5416,8.3366,9.1554,8.0815,8.7778,8.8794,Scleroderma with Pulmonary Arterial Hypertension
12.3754,8.231,11.0951,10.2129,9.5098,8.3931,8.2399,8.1238,9.0877,8.1084,8.844,8.6077,Scleroderma with Pulmonary Arterial Hypertension
12.9814,8.2004,11.3036,10.4253,9.5521,8.5304,8.1419,8.4073,8.7146,8.3094,9.0874,9.3708,Scleroderma with Pulmonary Arterial Hypertension
12.7378,8.076,11.319,10.0903,9.609,8.4483,8.5501,8.6741,8.9084,8.1394,9.0717,9.4706,Scleroderma with Pulmonary Arterial Hypertension
12.5236,8.2507,11.013,10.4455,9.2412,8.3654,8.5078,8.3441,8.6441,7.9786,9.2269,9.0161,Scleroderma with Pulmonary Arterial Hypertension
12.3778,8.1484,10.2269,10.0712,9.0752,8.1963,8.4584,8.2323,8.6802,7.9833,8.7461,8.558,Scleroderma with Pulmonary Arterial Hypertension
12.9228,8.3258,10.113,10.2389,9.3778,8.5189,8.685,8.7033,9.3129,8.0958,8.8477,9.0145,Scleroderma with Pulmonary Arterial Hypertension
11.6239,7.9508,9.5426,9.4575,8.7038,8.3623,8.6154,8.3245,8.5058,7.8174,8.2214,8.95,Scleroderma with Pulmonary Arterial Hypertension
13.0177,8.6448,10.6365,9.974,9.1106,8.3984,8.4466,8.3576,8.3989,8.2742,8.8322,9.019,Scleroderma with Pulmonary Arterial Hypertension
12.9758,8.1222,10.5209,10.3115,9.4138,8.569,8.5722,8.5321,8.7793,8.2109,8.5714,9.1023,Scleroderma with Pulmonary Arterial Hypertension
12.7834,8.2658,10.6918,10.3168,9.3798,8.5352,8.2867,8.3753,8.6945,7.845,8.7082,9.0565,Scleroderma with Pulmonary Arterial Hypertension
12.5089,8.1678,10.7208,10.5696,9.4028,8.2734,8.3509,8.1796,8.7692,7.8921,8.8333,8.8989,Scleroderma with Pulmonary Arterial Hypertension
11.7171,8.0663,9.4511,9.5133,8.4123,8.1349,8.0166,8.2157,8.5583,7.7628,8.4942,8.5258,Scleroderma with Pulmonary Arterial Hypertension
11.873,8.1423,9.7903,9.5059,8.6433,8.6421,8.6223,8.3841,8.6644,7.9786,8.5883,9.3347,Scleroderma with Pulmonary Arterial Hypertension
9.5706,7.8492,8.5563,8.1363,7.8416,8.2073,8.4205,8.4036,8.4266,7.8989,7.8524,8.3545,Scleroderma with Pulmonary Arterial Hypertension
12.5605,8.5511,10.3809,10.0365,9.43,8.0721,8.1805,8.3451,8.937,8.0761,9.2362,9.078,Scleroderma with Pulmonary Arterial Hypertension
12.6111,8.4548,10.7208,10.0399,9.0869,8.5226,8.5619,8.3173,8.317,8.1505,8.699,9.1323,Scleroderma with Pulmonary Arterial Hypertension
11.9424,8.1029,9.8199,9.253,8.7574,8.5336,8.5832,8.5146,8.3998,8.1291,8.4864,9.1428,Scleroderma only
11.9538,7.9559,10.4024,9.4373,8.4835,8.5996,8.7628,8.5545,8.2726,8.1761,8.6301,9.2315,Scleroderma only
11.6365,7.9203,9.8268,9.1109,8.5604,8.3992,8.3542,8.3518,8.4897,8.0396,8.3288,9.1559,Scleroderma only
13.1248,8.1239,11.6521,10.1975,9.5946,8.8596,9.0184,8.6194,8.2469,8.4495,9.1441,9.7206,Scleroderma only
13.0774,8.2152,11.4096,10.4019,9.4737,8.6313,8.9682,8.7214,8.5204,8.1941,9.3643,10.0225,Scleroderma only
13.4413,8.4149,11.1369,10.4446,9.8204,8.6059,8.6668,8.8398,8.3834,8.5809,9.4078,9.4335,Scleroderma only
13.0349,8.1508,11.4261,10.5807,10.189,8.8216,8.3674,8.8366,8.4491,8.5405,9.7199,9.383,Scleroderma only
13.1564,8.3462,11.7287,10.6446,10.5028,8.6954,8.6775,8.9225,8.2691,8.8712,9.4962,9.7466,Scleroderma only
13.6905,8.1532,11.4126,10.2772,9.7421,8.7509,8.7072,8.8,8.421,8.107,9.5787,9.3407,Scleroderma only
12.3386,8.4172,10.9538,9.7331,9.452,8.5313,8.4517,8.3951,8.4267,8.3054,9.1923,9.2902,Scleroderma only
13.3053,8.4387,11.3351,10.2883,9.8402,8.9512,8.6924,8.582,8.5108,8.8734,9.3699,9.6534,Scleroderma only
11.8266,8.0885,10.0699,9.3741,8.6306,8.3517,8.499,8.4133,8.4904,8.0864,8.2421,8.9707,Scleroderma only
12.8711,8.4175,11.1099,10.1194,9.4652,8.4307,8.2227,8.5084,8.694,8.2995,9.0863,9.4583,Scleroderma only
11.8493,8.1238,10.1936,9.3796,8.7774,8.6113,8.7411,8.3484,8.6063,7.992,8.6979,8.9579,Scleroderma only
12.1464,7.9123,9.9955,9.2914,8.499,8.6327,8.7963,8.5074,8.4012,8.0664,8.2902,8.8886,Scleroderma only
13.1027,8.2595,10.2042,10.5355,9.4615,8.4809,8.4877,8.5225,8.4914,7.9376,8.9532,9.3508,Scleroderma only
12.785,8.1874,11.0737,10.3013,9.4721,8.2706,8.1815,8.336,8.4912,8.1419,9.2228,9.7614,Scleroderma only
12.8303,8.3474,11.0792,10.2492,9.6454,8.6746,8.3769,8.4411,8.9563,8.1664,8.9275,9.2308,Scleroderma only
12.6447,8.4907,11.0612,10.0801,9.5563,8.4811,8.3769,8.4977,8.7869,8.2155,9.1852,9.2296,Scleroderma only
12.7135,8.0758,11.3116,10.4382,10.5674,8.9092,8.1563,8.4832,8.7464,8.4092,9.2442,9.5139,Interstitial Lung Disease
11.9684,8.1548,9.9718,9.7816,8.7434,8.2914,8.1423,8.6226,8.8499,8.1759,8.3168,8.8361,Interstitial Lung Disease
12.1133,8.3515,9.9314,9.6388,8.8353,8.1083,8.2514,8.3248,8.5907,7.8846,8.5941,8.4514,Interstitial Lung Disease
10.9648,8.1298,9.9245,9.5549,8.5983,8.0767,8.0069,8.2734,8.201,8.0985,8.5739,8.423,Interstitial Lung Disease
11.2607,7.8227,10.2475,9.6074,8.958,8.0083,7.9505,8.0801,8.4789,7.9038,8.4622,8.2625,Interstitial Lung Disease
12.3504,8.5389,10.3319,10.319,9.1863,8.1625,8.1646,8.3302,8.7856,7.8428,8.6638,8.6548,Interstitial Lung Disease
12.3911,8.4399,10.0989,9.6475,8.7967,8.4651,8.785,8.5244,8.4857,8.1281,8.9272,8.9613,Interstitial Lung Disease
12.9865,8.0725,10.4364,10.0917,9.1546,8.3245,8.5105,8.4854,9.3871,8.0922,8.6654,9.0851,Interstitial Lung Disease
