KLHL21,LZIC,NFIX,MIR663AHG,Results
293.7169567,153.4342311,129.0795912,314.1748541,1
271.041918,152.0992511,91.04903264,167.8881007,0
298.4043093,213.1459352,144.2834023,780.4420397,0
343.6369211,112.5707155,39.49849667,72.41391057,0
271.0089456,129.612974,108.0108117,91.31823168,0
379.5967467,109.0795249,38.17783371,70.90169118,0
205.7270191,149.0039315,76.19519225,75.34857901,0
485.1479808,116.894987,95.27279289,185.1400372,0
296.9448023,145.0195546,72.50977731,47.18890269,0
198.4123391,135.2811403,45.65738485,197.8486677,0
229.3004877,118.1244936,79.21289574,23.62489873,0
294.0515912,148.7555108,112.4314908,53.62117251,0
364.68398,118.7622172,286.7087869,530.231313,0
500.095314,124.3391416,160.4906101,203.2150728,0
399.5032196,106.7902837,96.80270321,766.7388714,0
263.1726205,134.9603182,157.9035723,85.02500048,0
513.7115232,108.3534663,296.0371489,2354.753008,0
521.7995636,98.15316826,115.4743156,163.8291853,0
329.373008,143.927701,154.9990626,26.29448383,0
320.9684808,132.9351746,37.60666124,72.58960192,0
414.8111878,95.55065752,70.52548531,152.4260489,0
292.6605965,160.4548444,53.67327542,192.0938278,0
154.2903961,133.1547254,32.76028959,155.8755714,0
294.7984292,151.4653998,40.6618523,312.0797164,0
271.4700958,129.8969813,86.111482,65.67824899,0
390.9959465,129.9553001,48.59198179,28.2511522,0
256.4876732,144.7770141,87.58115669,84.90010087,0
283.3986089,124.3483692,91.57438042,81.93497195,0
485.1834573,118.8489737,152.406331,542.5106093,0
389.3816167,134.896334,69.83994598,72.71008075,0
302.6081069,112.8025756,77.00295578,29.04497455,0
594.9358343,143.325451,246.0870951,1135.786593,0
355.3619255,118.4539752,246.5349519,744.2090737,0
263.006635,203.61804,175.3377566,3003.366089,0
214.9120171,143.8523986,144.7189793,220.9780821,0
388.4275862,81.44449389,294.4531702,1547.445384,0
95.68287945,278.1479054,10.01332459,38.38441094,0
244.442212,130.8176975,82.97579673,101.6640392,0
296.915885,156.0879395,36.18798598,17.00399341,0
261.9596565,122.0649708,39.31680708,47.54590623,0
392.8524391,112.0301632,92.6116016,25.39350367,0
301.6493863,121.3338314,76.25494263,65.30119397,0
113.8434263,337.6711797,6.753423593,148.5753191,0
247.5193664,126.1095506,38.38116757,32.1148545,0
300.2199503,153.691775,76.8458875,64.47239714,0
277.5779403,99.67571491,934.9329715,4215.399538,0
326.4870271,113.6086615,88.23973705,525.0264354,0
293.6742813,467.9841772,3351.676152,4194.80554,0
260.4425173,144.0997148,51.37981635,98.03505188,0
378.9389161,108.4201106,147.2175032,1348.342258,0
66.37088021,230.5514786,11.97670019,8.483495967,0
300.7058349,135.2868787,110.6892644,92.85599401,0
329.0416558,100.3640572,69.87371069,151.8165169,0
376.7395206,131.5598326,120.928735,197.3397489,0
296.3798077,136.2115052,70.50143232,169.7510215,0
174.2429958,106.9719658,33.08411313,83.81308659,0
353.8350409,222.4711335,2760.760828,7208.064725,0
268.7634906,134.3817453,55.88151786,25.94499043,0
293.7160371,113.0077661,42.70339547,51.55653843,0
394.8370289,111.985941,51.95224065,53.10673489,0
282.2085909,124.9406455,78.63397269,143.2885725,0
473.9666121,101.0907809,143.3500418,1080.511298,0
322.6732685,110.4407476,41.24895391,71.85301649,0
254.279318,135.2059213,87.57656268,76.05333075,0
791.9376109,282.834861,2319.245861,4114.63237,0
379.7136999,121.3747604,143.6453586,3204.739086,0
351.9983789,111.1573828,285.8332701,1196.265167,0
