KLHL21,LZIC,MIR8086,GHITM,FBXW4,NLRP6,MIR4537,HBA1,KAT8,NFIX,JUND,ZNF582,MIR663AHG,WNT7B,PXK,LOC101243545,EDNRA,MAP1B,MIR4660,KANTR,Results
589.7392303,109.2544789,1.174779343,1276.985146,77.53543666,371.2302725,9.398234746,491.0577655,331.2877748,148.0221973,231.4315306,25.84514555,240.8297654,35.2433803,619.1087139,15.27213146,38.76771833,269.0244696,1,35.2433803,1
231.2666475,96.36110311,1,1281.602671,134.9055444,211.9944268,9.636110311,119613.0373,250.5388681,587.802729,337.2638609,28.90833093,1985.038724,9.636110311,279.447199,38.54444124,1,477902.8909,9.636110311,77.08888249,1
336.5127303,142.9743206,1.743589276,883.999763,139.4871421,115.0768922,26.15383914,169.1281598,298.1537662,85.43587453,129.0256064,27.89742842,183.076874,3.487178552,357.4358016,38.35896407,5.230767828,216.2050702,1,95.89741019,1
420.2725143,129.0724576,1,1527.619757,140.8778653,135.368675,7.870271803,319.5330352,312.4497906,161.340572,189.6735504,20.46270669,290.4130295,1,236.8951813,22.82378823,1,399.8098076,1,43.28649492,1
218.0172012,140.5291598,1,953.4969162,134.619055,47.28083882,9.193496437,550.2964296,165.4829359,63.04111843,197.0034951,22.32706278,717.0927221,1,333.592585,35.46062912,1,263.9846834,1.313356634,89.30825111,1
310.6655257,113.1946197,1,1443.437961,179.2936678,202.4283346,3.304952401,530.4448604,248.6976682,93.36490533,171.0312868,27.26585731,78.49261953,1,257.7862873,61.96785752,1,1377.338913,1,43.79061932,1
522.8323972,157.1519344,1,4642.026371,253.8608172,181.3291551,6.04430517,586.2976015,281.0601904,256.8829697,761.5824515,42.31013619,803.8925877,3.022152585,265.9494275,33.24367844,6.04430517,2559.76324,1,87.64242497,1
245.4065565,104.0133749,1,960.498509,134.8923456,86.13607611,4.875626949,2574.331029,211.2771678,118.6402558,186.8990331,16.25208983,469.6853961,14.62688085,286.036781,21.12771678,19.5025078,1968.128079,1,89.38649407,1
250.3288121,115.4366025,1.297040477,1125.831134,153.0507763,115.4366025,5.188161908,230.8732049,293.1311478,77.82242862,190.6649501,18.15856668,543.4599599,1,175.1004644,24.64376906,1.297040477,946.8395482,1,57.06978099,1
164.4927144,157.9503905,2.803853086,878.5406337,178.5119798,114.9579765,6.542323868,120.5656827,225.2428646,117.7618296,351.4162535,15.88850082,1038.36026,5.607706173,284.1237794,21.496207,4.673088477,625.2592383,1,76.63865103,1
389.1091962,106.6912312,1,1139.085792,210.2444851,182.0026886,21.96584172,7389.936751,310.6597615,84.7253895,241.6242589,18.82786433,668.3891838,1,197.6925755,21.96584172,18.82786433,31979.12757,1,84.7253895,1
307.8441086,127.2350431,1,1492.85523,163.8959877,286.8179786,8.086973079,55.53054848,311.6180293,69.54796848,236.6787455,29.65223462,222.1221939,1,267.4092432,169.2873031,1,73.32188925,1.078263077,78.71320464,1
215.9605658,166.6247469,3.723458032,864.7731278,221.5457529,114.4963345,21.40988368,774.4792706,186.1729016,430.0594027,506.3902923,15.82469663,2729.294737,1,277.3976234,14.89383213,1,3507.497466,1.861729016,88.43212825,1
385.8834067,118.4626872,2.345795785,1267.902622,173.5888881,290.8786774,8.210285249,6337.167314,313.1637373,96.1776272,315.5095331,16.4205705,1243.271766,1.172897893,222.8505996,26.97665153,1.172897893,33031.15045,2.345795785,96.1776272,1
218.8757784,160.1530086,1,1458.059683,128.7897111,113.4417144,2.66921681,28.69408071,208.8662154,68.73233286,80.74380851,34.03251433,121.4493649,1,208.1989112,154.814575,1.334608405,10.00956304,1.334608405,32.69790593,1
395.5771264,116.0525955,2.495754741,1250.373125,127.2834918,124.787737,2.495754741,5580.507601,248.3275967,141.0101429,254.5669836,31.19693426,457.970995,1,260.8063704,28.70117952,1,3573.920789,1,37.43632111,1
434.4496898,162.0643787,1.952582876,1286.752115,110.3209325,228.4521964,1.952582876,4231.247091,239.1914023,213.8078249,290.9348485,37.09907464,1430.266956,3.905165751,219.6655735,45.88569758,1,3026.503457,1,47.83828045,1
390.4524853,126.4936977,1,1026.147854,146.500354,198.1304347,4.517632061,212.3287069,232.9807391,92.93414525,238.7891232,21.9427843,373.672709,1,296.227588,15.48902421,1,192.3220506,1.290752017,41.94944057,1
293.7169567,153.4342311,1,1434.488287,114.9539001,226.0110579,14.12569112,559.1825311,253.7753473,129.0795912,246.4689553,47.73509412,314.1748541,8.767670348,271.7977808,56.50276446,3.896742377,141.744004,2.435463986,73.06391957,1
271.041918,152.0992511,1.052589973,1310.474516,136.8366965,96.8382775,14.73625962,381.5638651,232.096089,91.04903264,145.7837112,51.05061368,167.8881007,1.052589973,253.6741834,40.52471395,3.157769918,146.3100062,1,75.78647804,0
298.4043093,213.1459352,1,1465.788201,163.9584117,147.5625705,3.279168234,28335.29271,295.1251411,144.2834023,216.4251034,19.6750094,780.4420397,1,200.0292623,16.39584117,1,111219.549,1,59.02502821,0
