HES5,KLHL21,LZIC,CASZ1,EIF2B3,NHLH2,FCRLA,ARID4B,GHITM,FBXW4,MIR3663HG,NLRP6,PHF21A,SF1,TMEM134,TRIM29,PABPN1,SPTB,MIR4537,HBA1,SNX29P1,KIAA0556,KAT8,CLEC18C,CTDNEP1,NFIX,JUND,MAU2,ERCC2,TMEM160,MED25,ZNF582,MIR663AHG,MIR663A,HSPA13,DGCR10,SELO,VHL,PXK,ZBTB20-AS1,LOC101243545,MAP1B,RBM22,LOC202181,NT5C3A,RALA,TAS2R5,SCRIB,KANTR,MIR6087,Results
1.756413189,333.7185059,109.7758243,50.05777589,79.03859351,1.756413189,157.1989804,1222.46358,1144.303193,191.4490376,1,84.30783308,270.4876311,392.5583478,32.493644,2.634619784,16.6859253,1406.008758,13.17309892,432.0776445,10.53847913,150.1733277,225.6990948,1,90.45527924,121.1925101,275.7568707,198.4746904,22.83337146,29.85902422,122.9489232,29.85902422,971.2964936,252.9234992,285.4171432,1,113.2886507,769.3089768,249.4106729,37.76288357,25.46799124,251.167086,199.352897,94.84631221,362.6993236,151.0515343,17.56413189,101.871965,68.50011438,581.3727656,1
1,306.4786083,137.2768766,21.28323669,61.7213864,1,106.4161834,1671.798242,1329.138131,150.0468187,1,257.5271639,419.2797628,323.5051977,21.28323669,1,11.70578018,906.665883,3.192485503,55.33641539,2.128323669,152.1751423,225.6023089,1.064161834,70.23468108,62.78554824,218.1531761,187.2924829,19.15491302,13.83410385,105.3520216,28.73236953,226.6664707,107.4803453,287.3236953,1,102.1595361,774.7098155,274.5537533,35.11734054,54.27225356,11.70578018,164.9450843,39.37398788,487.3861202,126.6352583,12.76994201,29.79653137,73.42716658,140.4693622,1
1,339.8626437,155.7703784,56.64377395,56.64377395,1,198.2532088,1203.680197,1940.049258,155.7703784,14.16094349,169.9313219,722.2081179,523.9549091,42.48283047,1,28.32188698,3384.465494,28.32188698,165229.8886,1,269.0579263,240.7360393,1,184.0922654,481.4720786,892.1394398,354.0235872,42.48283047,1,269.0579263,42.48283047,2209.107184,1359.450575,212.4141523,1,84.96566093,793.0128354,368.1845307,28.32188698,1,575118.3979,240.7360393,70.80471744,169.9313219,113.2875479,14.16094349,141.6094349,56.64377395,2566614.364,1
1,321.6298536,118.6762561,33.53894195,67.0778839,1,125.5560391,1320.058356,982.0890181,153.0751709,1,139.315605,391.2876561,472.9850788,30.09905047,1,9.459701575,868.5725992,6.019810093,623.4803311,18.05943028,120.3962019,272.6113999,1,97.17693436,100.6168258,197.7937602,229.6127564,12.89959306,18.05943028,127.2759848,19.77937602,600.2610636,177.1544113,289.8108573,1.719945741,108.3565817,682.8184591,276.9112643,41.27869778,22.35929463,289.8108573,183.1742214,74.81763973,301.8504775,158.2350082,16.33948454,70.51777538,92.01709714,884.9120837,1
1,215.0465588,119.4703105,12.38951368,93.80631785,1,140.7094768,1396.475185,1088.507273,169.0283652,1,82.30176944,248.6752388,310.6228072,38.0535063,1,8.849652627,254.8699957,5.309791576,56.63777682,11.50454842,90.2664568,288.4986757,1,53.09791576,25.66399262,153.9839557,155.7538862,25.66399262,14.1594442,57.52274208,42.47833261,467.2616587,162.8336083,307.0829462,1,115.0454842,735.4061333,187.6126357,30.08881893,22.12413157,111.5056231,149.5591294,61.06260313,285.8437799,140.7094768,10.61958315,99.11610943,76.1070126,153.0989905,1
1,487.4461209,116.3919822,45.9442035,55.57060804,1,126.8935144,1352.072274,1090.409096,167.5869518,1,222.2824322,337.3617228,393.3698947,36.31779896,1.312691529,14.00204297,1946.283973,8.313713014,228.8458898,10.06396839,210.0306446,227.0956344,1,82.6995663,165.3991326,328.610446,304.9819985,28.00408594,21.4406283,184.6519417,19.69037293,508.0116215,135.6447913,334.7363398,1.312691529,113.7665991,728.9813622,226.6580706,23.62844751,17.06498987,211.7808999,189.4651439,38.50561817,724.1681599,151.8346535,3.938074586,99.32699232,37.63049048,2803.471541,1
1,309.1477909,157.3843299,33.72521355,50.58782033,1,230.4556259,1275.937246,1478.288527,179.8678056,1,230.4556259,281.0434463,365.3564802,11.24173785,1,22.4834757,539.6034168,22.4834757,33860.11441,5.620868926,168.6260678,432.8069073,1,67.45042711,50.58782033,275.4225774,174.2469367,28.10434463,28.10434463,112.4173785,5.620868926,1382.733756,550.8451547,292.2851841,1,118.0382474,815.0259942,224.834757,11.24173785,16.86260678,165163.6125,207.9721502,95.55477173,410.3234316,123.6591164,1,56.20868926,78.69216496,416506.3874,1
3.607286973,254.3137316,138.8805485,64.93116552,106.4149657,7.214573946,160.5242703,1210.24478,1011.843996,128.0586876,10.82186092,122.6477571,432.8744368,324.6558276,16.23279138,41.48380019,23.44736533,860.3379431,3.607286973,55.91294809,19.84007835,173.1497747,239.8845837,5.41093046,82.96760038,97.39674828,120.8441136,138.8805485,41.48380019,10.82186092,82.96760038,36.07286973,23.44736533,7.214573946,257.9210186,9.018217433,72.14573946,622.2570029,259.7246621,41.48380019,367.9432713,129.862331,169.5424877,84.77124387,299.4048188,81.1639569,27.0546523,68.53845249,82.96760038,28.85829579,1
1,393.7534201,88.24229188,40.78425255,60.80561289,2.224595594,260.2776845,1480.097602,1094.501032,123.0942895,1,120.1281621,367.058273,404.8763981,38.55965696,2.224595594,14.08910543,487.186435,13.34757356,458.2666923,18.53829661,160.1708827,228.3918143,1,84.53463256,72.67012273,254.3454295,243.9639834,27.43667899,22.9874878,94.91607866,28.17821085,1357.003312,335.9139346,278.8159811,1.483063729,121.6112258,754.8794381,267.6930031,44.49191187,35.5935295,908.3765341,206.1458583,83.7931007,355.935295,137.9249268,15.57216916,48.1995712,73.41165459,36071.81755,1
1,394.3591134,117.3561973,27.48883901,52.86315194,1.057263039,132.1578798,2378.841837,1555.23393,118.4134603,1.057263039,282.2892313,554.0058323,262.2012336,30.66062812,1.057263039,16.91620862,538.1468867,1.057263039,901.845372,11.62989343,154.3604037,250.5713402,1,60.26399321,51.8058889,182.9065057,190.307347,23.25978685,23.25978685,108.898093,28.54610204,463.081211,182.9065057,448.2795284,1,103.6117778,842.6386418,227.3115533,21.14526077,24.31704989,5599.265053,191.36461,51.8058889,1262.372068,114.1844082,5.286315194,51.8058889,48.63409978,16097.88703,1
1,235.2632116,112.1505632,32.88625539,60.71308687,1,59.02661223,1263.169502,1145.116277,147.5665306,1,67.45898541,331.3922658,419.0889468,25.29711953,1,8.432373176,493.2938308,3.37294927,29.51330612,10.96208513,118.0532245,210.8093294,1,82.63725712,64.92927345,94.44257957,167.8042262,32.04301807,9.275610493,58.18337491,37.10244197,86.01020639,22.76740757,332.2355031,1,102.8749527,771.5621456,193.1013457,40.47539124,148.4097679,13.49179708,178.7663113,62.3995615,290.0736372,120.5829364,18.55122099,55.65366296,99.50200347,23.61064489,1
