KLHL21,LZIC,NLRP6,HBA1,NFIX,MIR663AHG,Results
283.3986089,124.3483692,166.7617664,36.62975217,91.57438042,81.93497195,0
485.1834573,118.8489737,152.406331,583.0590827,152.406331,542.5106093,0
389.3816167,134.896334,123.415795,47.83557944,69.83994598,72.71008075,0
302.6081069,112.8025756,103.3460722,27.01858098,77.00295578,29.04497455,0
594.9358343,143.325451,302.8764247,1083.053644,246.0870951,1135.786593,0
355.3619255,118.4539752,129.3366725,601.0597468,246.5349519,744.2090737,0
263.006635,203.61804,186.64987,29880.94736,175.3377566,3003.366089,0
214.9120171,143.8523986,108.3225893,704.5301207,144.7189793,220.9780821,0
388.4275862,81.44449389,125.2992214,79214.16775,294.4531702,1547.445384,0
95.68287945,278.1479054,5.006662297,8.344437161,10.01332459,38.38441094,0
244.442212,130.8176975,27.65859891,46.34684141,82.97579673,101.6640392,0
296.915885,156.0879395,85.01996706,34.44398665,36.18798598,17.00399341,0
261.9596565,122.0649708,115.2073882,30.63053575,39.31680708,47.54590623,0
392.8524391,112.0301632,103.0677502,222.5665909,92.6116016,25.39350367,0
301.6493863,121.3338314,112.9078709,46.34278282,76.25494263,65.30119397,0
113.8434263,337.6711797,6.753423593,5.788648794,6.753423593,148.5753191,0
247.5193664,126.1095506,53.26366112,29.7649871,38.38116757,32.1148545,0
300.2199503,153.691775,126.9910853,51.44767045,76.8458875,64.47239714,0
277.5779403,99.67571491,478.191088,2740.451301,934.9329715,4215.399538,0
326.4870271,113.6086615,123.5356319,909.9722883,88.23973705,525.0264354,0
293.6742813,467.9841772,532.4030518,2561.597602,3351.676152,4194.80554,0
260.4425173,144.0997148,128.1542546,37.20607391,51.37981635,98.03505188,0
378.9389161,108.4201106,185.4834246,247.6655468,147.2175032,1348.342258,0
66.37088021,230.5514786,17.96505028,12.97475854,11.97670019,8.483495967,0
300.7058349,135.2868787,69.48826042,34.43666003,110.6892644,92.85599401,0
329.0416558,100.3640572,199.4576832,47.64116638,69.87371069,151.8165169,0
376.7395206,131.5598326,160.7953509,35.21551074,120.928735,197.3397489,0
296.3798077,136.2115052,152.6390234,43.1222353,70.50143232,169.7510215,0
174.2429958,106.9719658,13.23364525,23.71028108,33.08411313,83.81308659,0
353.8350409,222.4711335,845.3903073,2637.872011,2760.760828,7208.064725,0
268.7634906,134.3817453,56.54677402,23.28396577,55.88151786,25.94499043,0
293.7160371,113.0077661,73.9497824,46.86958039,42.70339547,51.55653843,0
394.8370289,111.985941,185.8735721,47.3342637,51.95224065,53.10673489,0
282.2085909,124.9406455,124.0669347,34.0747215,78.63397269,143.2885725,0
473.9666121,101.0907809,140.8642029,364.5897016,143.3500418,1080.511298,0
322.6732685,110.4407476,119.0897218,35.92650825,41.24895391,71.85301649,0
254.279318,135.2059213,94.49050184,42.25185042,87.57656268,76.05333075,0
791.9376109,282.834861,848.5045831,3010.346695,2319.245861,4114.63237,0
379.7136999,121.3747604,162.5753671,4447.438467,143.6453586,3204.739086,0
351.9983789,111.1573828,206.4351395,22607.29438,285.8332701,1196.265167,0
